competition_id,edition,played_year,stage_scope,host_team_id,host_country_code,host_name,multi_host,organizer,quality_status,source_reference,source,notes
fifa_world_cup,2022,2022,final_tournament,fifa_qat,QA,Qatar,false,FIFA,verified_reference,data/raw/openfootball/worldcup-master/2022--qatar,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
fifa_world_cup,2026,2026,final_tournament,fifa_can,CA,Canada,true,FIFA,verified_reference,data/raw/openfootball/worldcup-master/2026--usa,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
fifa_world_cup,2026,2026,final_tournament,fifa_mex,MX,Mexico,true,FIFA,verified_reference,data/raw/openfootball/worldcup-master/2026--usa,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
fifa_world_cup,2026,2026,final_tournament,fifa_usa,US,United States,true,FIFA,verified_reference,data/raw/openfootball/worldcup-master/2026--usa,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_aze,AZ,Azerbaijan,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_den,DK,Denmark,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_eng,GB,England,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_ger,DE,Germany,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_hun,HU,Hungary,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_ita,IT,Italy,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_ned,NL,Netherlands,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_rou,RO,Romania,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_rus,RU,Russia,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_sco,GB,Scotland,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2020,2021,final_tournament,fifa_esp,ES,Spain,true,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2021--europe,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_euro,2024,2024,final_tournament,fifa_ger,DE,Germany,false,UEFA,verified_reference,data/raw/openfootball/euro/euro-master/2024--germany,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
copa_america,2021,2021,final_tournament,fifa_bra,BR,Brazil,false,CONMEBOL,verified_reference,data/raw/openfootball/copa-america/copa-america-master/2021--brazil,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
copa_america,2024,2024,final_tournament,fifa_usa,US,United States,false,CONMEBOL,verified_reference,data/raw/openfootball/copa-america/copa-america-master/2024--usa,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
african_cup_of_nations,2021,2022,final_tournament,fifa_cmr,CM,Cameroon,false,CAF,verified_reference,data/raw/wikimedia/afcon/2021_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
african_cup_of_nations,2023,2024,final_tournament,fifa_civ,CI,Ivory Coast,false,CAF,verified_reference,data/raw/wikimedia/afcon/2023_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
african_cup_of_nations,2025,2025,final_tournament,fifa_mar,MA,Morocco,false,CAF,verified_reference,data/raw/wikimedia/afcon/2025_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
afc_asian_cup,2023,2024,final_tournament,fifa_qat,QA,Qatar,false,AFC,verified_reference,data/raw/wikimedia/asian-cup/2023_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
gold_cup,2021,2021,final_tournament,fifa_usa,US,United States,false,CONCACAF,verified_reference,data/raw/wikimedia/gold-cup/2021_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
gold_cup,2023,2023,final_tournament,fifa_can,CA,Canada,true,CONCACAF,verified_reference,data/raw/wikimedia/gold-cup/2023_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
gold_cup,2023,2023,final_tournament,fifa_usa,US,United States,true,CONCACAF,verified_reference,data/raw/wikimedia/gold-cup/2023_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
gold_cup,2025,2025,final_tournament,fifa_can,CA,Canada,true,CONCACAF,verified_reference,data/raw/wikimedia/gold-cup/2025_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
gold_cup,2025,2025,final_tournament,fifa_usa,US,United States,true,CONCACAF,verified_reference,data/raw/wikimedia/gold-cup/2025_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_nations_league,2020-21,2021,finals_only,fifa_ita,IT,Italy,false,UEFA,verified_reference,data/raw/wikimedia/nations-league/uefa_2021_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_nations_league,2022-23,2023,finals_only,fifa_ned,NL,Netherlands,false,UEFA,verified_reference,data/raw/wikimedia/nations-league/uefa_2023_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
uefa_nations_league,2024-25,2025,finals_only,fifa_ger,DE,Germany,false,UEFA,verified_reference,data/raw/wikimedia/nations-league/uefa_2025_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
concacaf_nations_league,2019-20,2021,finals_only,fifa_usa,US,United States,false,CONCACAF,verified_reference,data/raw/wikimedia/nations-league/concacaf_2021_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
concacaf_nations_league,2022-23,2023,finals_only,fifa_usa,US,United States,false,CONCACAF,verified_reference,data/raw/wikimedia/nations-league/concacaf_2023_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
concacaf_nations_league,2023-24,2024,finals_only,fifa_usa,US,United States,false,CONCACAF,verified_reference,data/raw/wikimedia/nations-league/concacaf_2024_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
concacaf_nations_league,2024-25,2025,finals_only,fifa_usa,US,United States,false,CONCACAF,verified_reference,data/raw/wikimedia/nations-league/concacaf_2025_finals.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
oceania_nations_cup,2024,2024,final_tournament,fifa_fij,FJ,Fiji,true,OFC,verified_reference,data/raw/wikimedia/ofc/2024_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
oceania_nations_cup,2024,2024,final_tournament,fifa_van,VU,Vanuatu,true,OFC,verified_reference,data/raw/wikimedia/ofc/2024_tournament.html,OpenFootball CC0 or locally archived Wikimedia tournament page,Edition year may differ from played year where the tournament was postponed.
